Scenario,Controller,RMSE_ey,RMSE_epsi,IAE_ey,IAE_epsi,ITAE_ey,ITAE_epsi,PeakAbs_ey,PeakAbs_epsi,Max_ey,Min_ey,Ts_ey,Ts_epsi,ControlEnergy
nominal_curved_IC1_small_offset,BNTSMC,0.032897858732019,0.007608987726424722,0.201032377744157,0.07816195359410494,0.9539219618377692,0.5256302380503242,0.31653708197702607,0.06,0.31653708197702607,-0.010412086299522384,0.71,14.120000000000001,0.010047266125696657
nominal_curved_IC1_small_offset,TSMC,0.07917528394618878,0.008864212890420671,0.46941806454329477,0.09475891895053451,0.9346245038614556,0.5483599715839637,0.43849835834120393,0.06,0.43849835834120393,-0.008110675860559234,1.5,14.1,0.005119374025208453
nominal_curved_IC1_small_offset,SMC,0.08627747919969914,0.0091217385710884,0.5343199339410355,0.09814499141264307,1.0064280890736659,0.5543238066605843,0.4651529359908333,0.06,0.4651529359908333,-0.007988017947682344,1.95,14.09,0.0050311216642583995
nominal_curved_IC2_large_offset,BNTSMC,0.09851872371016453,0.020601184762697837,0.4195964290866512,0.12756139283463339,1.0044795037802743,0.542792440867985,0.9180566243093887,0.17083255706662928,0.9180566243093887,-0.010412086299522384,0.88,14.120000000000001,0.038922255585398406
nominal_curved_IC2_large_offset,TSMC,0.3463417067405186,0.020719615432998943,2.5731805519177207,0.18912857412330797,3.4443118631063903,0.7019335914222369,1.3897158023644165,0.16,1.3897158023644165,-0.008110675860559234,3.21,14.1,0.007000171119353969
nominal_curved_IC2_large_offset,SMC,0.3776280742082932,0.022310702069167625,2.8164768300221534,0.20217176742544138,3.7826417285183958,0.7236782272578743,1.4914092712636504,0.16,1.4914092712636504,-0.00798801794767984,3.5500000000000003,14.09,0.006584655712158091
nominal_curved_IC3_negative_offset,BNTSMC,0.06352060448816436,0.013490900204845899,0.2947107412975119,0.09831265367367253,0.9712965529142725,0.5311973057521419,0.6259098524914557,0.11542787130588367,0.008518614401256154,-0.6259098524914557,0.75,14.120000000000001,0.02268486882903819
nominal_curved_IC3_negative_offset,TSMC,0.1904869802189879,0.012891901254405782,1.228452242575896,0.12263523947735822,1.6143902301560578,0.5819731883144944,0.8842386001960074,0.1,0.0065319463691045545,-0.8842386001960074,2.21,14.1,0.005597410694872953
nominal_curved_IC3_negative_offset,SMC,0.20515448308237594,0.013781584178351196,1.3334374561304274,0.12617348142667753,1.727097780841789,0.5824080275971244,0.937591257774735,0.1,0.0050960149036561615,-0.937591257774735,2.48,14.09,0.005462340822448002
nominal_curved_IC4_with_lateral_velocity,BNTSMC,0.04978667789830294,0.01097085405887539,0.2559471318412539,0.09100471822797696,0.9660009470742968,0.5299696345786082,0.4817500776916762,0.09118201143416703,0.4817500776916762,-0.010412086299522384,0.77,14.120000000000001,0.017154853210496753
nominal_curved_IC4_with_lateral_velocity,TSMC,0.15733553228037517,0.012873144107952515,1.0054923824693869,0.12589981643718337,1.4180646175366514,0.5888990068534341,0.7495983470308046,0.08213061030117849,0.7495983470308046,-0.008110675860559234,2.14,14.1,0.005477014569627675
nominal_curved_IC4_with_lateral_velocity,SMC,0.17647065851660187,0.013963697855381724,1.1590606115994413,0.13483325349245306,1.607998678162588,0.6028032381807806,0.8191292052359815,0.08316147527241113,0.8191292052359815,-0.007988017947682221,2.6,14.09,0.005347256058139944
nominal_curved_IC5_opposite_heading,BNTSMC,0.05356506752399958,0.01570478281737619,0.24843824039260987,0.10406873616637818,0.9582276478532603,0.5292452007667905,0.7,0.13500630058859242,0.7,-0.010412086299522384,0.6900000000000001,14.120000000000001,0.00659755720817305
nominal_curved_IC5_opposite_heading,TSMC,0.057045937758655095,0.014870353406063356,0.24692283767291137,0.10417522208185898,0.7598235607863612,0.5313293623617957,0.7,0.1220340280454104,0.7,-0.008110675860559234,0.74,14.1,0.0055668797859706525
nominal_curved_IC5_opposite_heading,SMC,0.060657546568634244,0.013997674829223348,0.295615647129773,0.10423906613265638,0.794947151321767,0.5353621531630326,0.7,0.12144867444825279,0.7,-0.007988017947682351,1.24,14.09,0.0055661553872671556
s_curve_IC1_small_offset,BNTSMC,0.03303512318753105,0.00768879123446965,0.20859749464381583,0.08187661527743498,1.0560029527465833,0.5817466353756476,0.3165173831347689,0.06,0.3165173831347689,-0.009394302418106458,0.6900000000000001,14.91,0.011535458342919512
s_curve_IC1_small_offset,TSMC,0.07877779808046813,0.008670563356564924,0.47451950479837607,0.09867989030381547,1.0110013701535463,0.6028655476124398,0.4373639901516652,0.06,0.4373639901516652,-0.007280160668941005,1.46,14.89,0.0066788650459862105
s_curve_IC1_small_offset,SMC,0.08578131971308704,0.008887540334009006,0.5396241261785878,0.10213012003022039,1.087931932313019,0.6083686476727063,0.4638407937287125,0.06,0.4638407937287125,-0.00758841137287232,1.83,14.91,0.006601234706191131
s_curve_IC2_large_offset,BNTSMC,0.09865794543734611,0.02050844184171125,0.42805073925002596,0.1313010767152103,1.1070338562632454,0.5989707492154479,0.9180940559006926,0.16939639463845085,0.9180940559006926,-0.009394302418106458,0.85,14.91,0.04001405514349077
s_curve_IC2_large_offset,TSMC,0.3451769574901336,0.020036455218096157,2.578277330334216,0.19347143924257207,3.520678988008874,0.7566331542589309,1.3877735689417519,0.16,1.3877735689417519,-0.007280160668941005,3.16,14.89,0.008703904821929079
s_curve_IC2_large_offset,SMC,0.37643615252632134,0.02162328162468841,2.8217750934009764,0.2067536503606143,3.8641330531956504,0.7780371215499104,1.489141738443654,0.16,1.489141738443654,-0.007588411372872199,3.46,14.91,0.008336539791830837
s_curve_IC3_negative_offset,BNTSMC,0.06387428237894417,0.013701039949263466,0.30762869959392086,0.10483324609319919,1.0771949214186356,0.5894097649384191,0.625977654268894,0.11545213240067768,0.009656164897780036,-0.625977654268894,0.78,14.91,0.024419316729489687
s_curve_IC3_negative_offset,TSMC,0.19128503693178062,0.013682080435559532,1.253555132572574,0.140049759047501,1.7227373300199855,0.6589995884406705,0.8857617592840943,0.1,0.007509982456524777,-0.8857617592840943,2.25,14.89,0.007335396848532213
s_curve_IC3_negative_offset,SMC,0.20599793292587318,0.014568443195828432,1.3671374400009904,0.14617780487504362,1.8643707725476366,0.666323702138578,0.9393680089678137,0.1,0.007627689260373568,-0.9393680089678137,2.57,14.91,0.007179235118137065
s_curve_IC4_with_lateral_velocity,BNTSMC,0.04990231167846259,0.0109708083398792,0.2637639749090443,0.09472302329153512,1.0682131016924605,0.5861031028777743,0.4817503960355138,0.09012490933631231,0.4817503960355138,-0.009394302418106458,0.75,14.91,0.018541761038682582
s_curve_IC4_with_lateral_velocity,TSMC,0.15663550436807924,0.012432527513353431,1.010592149938829,0.13005018153409245,1.494438830479837,0.6435010119284977,0.7479902372305556,0.08215597910591417,0.7479902372305556,-0.007280160668941005,2.09,14.89,0.007047962675253903
s_curve_IC4_with_lateral_velocity,SMC,0.1756847493268068,0.013493407637502893,1.1643625157182802,0.13916431880233007,1.6894987884283106,0.6570148854545632,0.8171947975475454,0.08321538266278908,0.8171947975475454,-0.007588411372872314,2.48,14.91,0.006945996789605693
s_curve_IC5_opposite_heading,BNTSMC,0.05363845961169111,0.015714261923469183,0.2557834377234467,0.10776280940743184,1.0601821438632433,0.5853452905523888,0.7,0.13469508007439257,0.7,-0.009394302418106458,0.67,14.91,0.00795335860239801
s_curve_IC5_opposite_heading,TSMC,0.057015223218791794,0.014884465388665377,0.2520264366254649,0.10781580941411896,0.8362023311877465,0.5857620858835512,0.7,0.12199549350222105,0.7,-0.007280160668941005,0.72,14.89,0.006939701494830389
s_curve_IC5_opposite_heading,SMC,0.06053207479348497,0.013985339464857638,0.30092225393204886,0.10785400607995352,0.8764534367800736,0.5892992605504049,0.7,0.12142330938429136,0.7,-0.007588411372872327,1.1500000000000001,14.91,0.006944501884362247
tire_uncertainty_side_wind_IC1_small_offset,BNTSMC,0.03477085371586294,0.008221558129829462,0.15763132488213175,0.0535391249787964,0.48232496866599,0.2662080033582634,0.32178241738631075,0.06950074083400262,0.32178241738631075,-0.005275124667342245,0.6900000000000001,0.77,0.011552635149525158
tire_uncertainty_side_wind_IC1_small_offset,TSMC,0.0928325217475343,0.008935662774246973,0.5314839148269169,0.07281805409567256,0.6526508698113469,0.3006323676360376,0.4774009850351873,0.06,0.4774009850351873,-0.004112098630282525,1.6500000000000001,1.79,0.005273554074341644
tire_uncertainty_side_wind_IC1_small_offset,SMC,0.10336099445657256,0.009277623674297743,0.6617948837386799,0.07648964572848561,1.2288846692951396,0.30171510450574546,0.5127216309166479,0.06,0.5127216309166479,-0.0077906615490839935,2.04,2.37,0.005154794491324027
